"Group.1","x"
20160101,4588
20160102,1091
20160103,54
20160104,2856
20160105,2475
20160106,2300
20160107,2286
20160108,1843
20160109,1056
20160110,40
20160111,2177
20160112,2425
20160113,2254
20160114,2006
20160115,1683
20160116,946
20160118,2683
20160119,2057
20160120,2110
20160121,2466
20160122,1595
20160123,1137
20160124,71
20160125,2279
20160126,2549
20160127,2088
20160128,2337
20160129,1676
20160130,857
20160201,7324
20160202,2502
20160203,2591
20160204,2603
20160205,2327
20160206,1049
20160207,10
20160208,13
20160209,7
20160210,258
20160211,2763
20160212,2612
20160213,1221
20160214,51
20160215,3025
20160216,2433
20160217,2515
20160218,2146
20160219,1979
20160220,923
20160221,18
20160222,2735
20160223,2215
20160224,1863
20160225,1643
20160226,1788
20160227,878
20160228,1
20160229,2609
20160301,4210
20160302,2647
20160303,2727
20160304,2556
20160305,1086
20160306,10
20160307,2785
20160308,2498
20160309,2412
20160310,1988
20160311,1908
20160312,1067
20160313,41
20160314,2547
20160315,2199
20160316,2169
20160317,2805
20160318,1607
20160319,925
20160320,20
20160321,2528
20160322,2174
20160323,2109
20160324,1851
20160325,1669
20160326,896
20160328,2791
20160329,2202
20160330,1742
20160331,1926
20160401,6850
20160402,1161
20160403,64
20160404,2337
20160405,2121
20160406,1962
20160407,2572
20160408,1627
20160409,1414
20160410,61
20160411,2817
20160412,2220
20160413,548
20160414,2427
20160415,1688
20160416,857
20160417,32
20160418,3194
20160419,1924
20160420,2246
20160421,2153
20160422,1708
20160423,1068
20160424,17
20160425,2906
20160426,2116
20160427,1997
20160428,2679
20160429,1651
20160430,1244
20160501,4846
20160502,2681
20160503,2570
20160504,2741
20160505,62
20160506,1432
20160507,1240
20160508,2
20160509,2900
20160510,2235
20160511,2828
20160512,2348
20160513,1874
20160514,72
20160515,32
20160516,2565
20160517,2391
20160518,2034
20160519,1733
20160520,1943
20160521,1076
20160522,49
20160523,2812
20160524,2000
20160525,1920
20160526,2079
20160527,1674
20160528,995
20160529,6
20160530,2596
20160531,2176
20160601,6626
20160602,2085
20160603,2053
20160604,1089
20160605,23
20160606,67
20160607,3375
20160608,2371
20160609,2426
20160610,2189
20160611,952
20160612,17
20160613,2843
20160614,2048
20160615,2160
20160616,1983
20160617,1601
20160618,881
20160619,13
20160620,2758
20160621,2776
20160622,2116
20160623,1647
20160624,1594
20160625,1034
20160626,36
20160627,2923
20160628,2412
20160629,1986
20160630,1815
20160701,6583
20160702,1184
20160703,54
20160704,2422
20160705,1687
20160706,2472
20160707,1759
20160708,1930
20160709,933
20160710,32
20160711,2356
20160712,2719
20160713,2279
20160714,2105
20160715,1505
20160716,912
20160717,24
20160718,2776
20160719,2373
20160720,2426
20160721,2176
20160722,2155
20160723,832
20160724,24
20160725,2540
20160726,2117
20160727,1723
20160728,2056
20160729,2237
20160730,1104
20160731,11
20160801,6588
20160802,2490
20160803,2136
20160804,2089
20160805,2061
20160806,1110
20160807,79
20160808,2546
20160809,2832
20160810,2002
20160811,1950
20160812,2120
20160813,853
20160814,54
20160815,18
20160816,2425
20160817,2336
20160818,2067
20160819,2087
20160820,968
20160821,3
20160822,3010
20160823,2508
20160824,2865
20160825,1868
20160826,2446
20160827,1334
20160828,1
20160829,2831
20160830,1926
20160831,2092
20160901,6828
20160902,2101
20160903,1168
20160904,3
20160905,2554
20160906,2611
20160907,2197
20160908,2478
20160909,2372
20160910,1290
20160911,2
20160912,3098
20160913,2169
20160914,20
20160915,57
20160916,16
20160917,233
20160918,11
20160919,3116
20160920,2601
20160921,2973
20160922,2424
20160923,2544
20160924,1342
20160925,30
20160926,2770
20160927,2154
20160928,2063
20160929,1972
20160930,1656
20161001,5084
20161002,2
20161003,44
20161004,2723
20161005,2666
20161006,2083
20161007,2267
20161008,1106
20161009,38
20161010,2712
20161011,2203
20161012,2290
20161013,2087
20161014,1604
20161015,959
20161016,32
20161017,2784
20161018,2492
20161019,2439
20161020,2156
20161021,2198
20161022,1344
20161023,1
20161024,1955
20161025,2733
20161026,2143
20161027,2219
20161028,1357
20161029,972
20161030,66
20161031,2245
20161101,6362
20161102,1661
20161103,2022
20161104,1837
20161105,1098
20161106,39
20161107,2896
20161108,2165
20161109,1906
20161110,2134
20161111,1556
20161112,1121
20161113,57
20161114,2841
20161115,2507
20161116,2415
20161117,2274
20161118,2296
20161119,907
20161120,21
20161121,2349
20161122,2440
20161123,1645
20161124,1886
20161125,1981
20161126,894
20161127,3
20161128,2408
20161129,2151
20161130,2196
20161201,7226
20161202,1946
20161203,1148
20161204,10
20161205,2256
20161206,2382
20161207,2237
20161208,2020
20161209,1665
20161210,894
20161211,85
20161212,2111
20161213,2298
20161214,2414
20161215,2028
20161216,2027
20161217,1088
20161218,21
20161219,2443
20161220,2432
20161221,2170
20161222,2370
20161223,1932
20161224,887
20161225,16
20161226,2450
20161227,2245
20161228,2073
20161229,2163
20161230,2317
20161231,675
